id,product_name,product_sku,pack_size,pack_unit,servings_per_pack,dose_per_serving,dose_unit,price_eur,price_per_serving,form,is_vegan,is_organic,allergens,product_url,is_verified,is_recommended,popularity_score,quality_tags,ingredients,created_at,brand_name,brand_slug,brand_country,brand_website,brand_price_tier,brand_specialization,brand_quality_certifications,supplement_name,supplement_category,default_dosage,default_unit,timing_constraint,protocol_phase,impact_score,priority_score,necessity_tier,evidence_level,hallmarks_addressed,synergies,blockers,cycling_required,cycling_protocol,cost_per_day_eur,form_quality,short_description,bioavailability,potency,reviews,origin,lab_tests,purity,value,impact_score_big8,category,serving_size,servings_per_container,price,currency,dosage_per_serving,quality_purity,quality_bioavailability,quality_dosage,quality_synergy,quality_research,quality_form,quality_value,quality_transparency,timing,is_gluten_free,country_of_origin,amazon_asin,amazon_url,amazon_image,amazon_name,match_score
7dcf2a95-f9c9-4056-ab65-37a376d74202,Acetyl-L-Carnitin 500mg,,60.0,capsules,60.0,500.0,mg,34.9,0.58,capsule,Nein,Nein,,,Ja,Nein,0.0,acetyl-form; gehirn-gaengig; made-in-at,carnitine,2026-01-28T22:43:12.813904+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,,,,,,,9.1,,,,general,alpha_lipoic;coq10;omega_3,,,,,9.5,Fetttransporter für Energie & Herzgesundheit,9.5,9.2,9.1,10.0,10.0,10.0,8.0,9.41,,,,,,,,,,,,,,,,,,B00CU9UYHI,https://www.amazon.de/dp/B00CU9UYHI,https://m.media-amazon.com/images/I/71FK00Fjk7L._AC_UL320_.jpg,Acetyl-L-Carnitine by Dr. med. Michalzik M. D. - Free of additives,0.43
71cdc68a-10f6-4fe1-87dd-4cef9e53b071,Alpha-GPC 300mg,,60.0,Stück,60.0,300.0,mg,34.9,0.58,capsule,Ja,Nein,,,Ja,Nein,0.0,reinsubstanz; GMP; made-in-at; high-bioavailability; optimal-form; ultra-pure; lab-verified,alpha_gpc,2026-01-29T23:39:59.165093+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,,,,,,,9.3,,,,general,,,,,,10.0,Unterstützt general,10.0,9.0,8.0,10.0,10.0,10.0,8.0,9.29,,,,,,,,,,,,,,,,,,B009PY1P06,https://www.amazon.de/dp/B009PY1P06,https://m.media-amazon.com/images/I/61E6DIgjw+L._AC_UL320_.jpg,R-Alpha-Lipoic Acid- Thioctic Acid - 300 mg – 120 Capsules,0.38
7990bb22-d9f6-461b-87a1-1c4b7d39749a,Alpha-Liponsäure R-Form,,60.0,Stück,60.0,200.0,mg,34.9,0.58,capsule,Ja,Nein,,,Ja,Nein,0.0,reinsubstanz; GMP; made-in-at; high-bioavailability; optimal-form; ultra-pure; lab-verified,ala,2026-01-29T23:39:57.420477+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Alpha Liponsäure,antioxidant,250 mg,mg,any,0.0,7.5,50.0,optimizer,strong,general,,,Nein,,,10.0,Unterstützt general,10.0,9.0,8.0,10.0,10.0,10.0,8.0,9.29,,,,,,,,,,,,,,,,,,B009PY1P06,https://www.amazon.de/dp/B009PY1P06,https://m.media-amazon.com/images/I/61E6DIgjw+L._AC_UL320_.jpg,R-Alpha-Lipoic Acid- Thioctic Acid - 300 mg – 120 Capsules,0.32
b6fd11d0-fec2-4307-bedc-2e4312251883,Ashwagandha KSM-66 500mg,,90.0,Stück,90.0,500.0,mg,29.9,0.33,capsule,Ja,Nein,,,Ja,Nein,0.0,reinsubstanz; GMP; made-in-at; optimal-form; ultra-pure; lab-verified,ashwagandha,2026-01-29T23:39:57.092818+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Ashwagandha,Adaptogene,600,mg,any,0.0,5.0,50.0,optimizer,moderat,cortisol;sleep;stress;testosterone,l_theanine;magnesium;rhodiola;vit_b_complex;zinc,,Nein,,,10.0,"Adaptogen gegen Stress, für Schlaf & Testosteron",9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.43,,,,,,,,,,,,,,,,,,B081YWDJYL,https://www.amazon.de/dp/B081YWDJYL,https://m.media-amazon.com/images/I/61Yyq14NwcL._AC_UL320_.jpg,"Bulk KSM-66 Ashwagandha Kapseln, 500 mg, 500 mg, 90 Kapseln",0.48
728488b0-2091-4516-b3a4-625ac367a24c,Ashwagandha KSM-66 Gold 600mg,,90.0,capsules,90.0,600.0,mg,34.9,0.39,capsule,Nein,Nein,,,Ja,Nein,0.0,ksm-66; full-spectrum; made-in-at,ashwagandha,2026-01-28T22:43:12.364745+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Ashwagandha,Adaptogene,600,mg,any,0.0,5.0,50.0,optimizer,moderat,cortisol;sleep;stress;testosterone,l_theanine;magnesium;rhodiola;vit_b_complex;zinc,,Nein,,,9.5,"Adaptogen gegen Stress, für Schlaf & Testosteron",9.5,9.7,9.7,10.0,10.0,10.0,8.0,9.55,,,,,,,,,,,,,,,,,,B0G1SLPQ4N,https://www.amazon.de/dp/B0G1SLPQ4N,https://m.media-amazon.com/images/I/817qlrnMbIL._AC_UL320_.jpg,"QIDOSHA Organic Ashwagandha KSM-66 Extract, 180 Capsules, 5% Withanolide, 600mg per Daily Serving",0.44
548a7cf0-61d2-4df8-91d6-0cdde54f1eb0,B-Komplex Aktiv Gold,,120.0,Stück,120.0,1.0,Portion,34.9,0.29,capsule,Ja,Nein,,,Ja,Nein,0.0,reinsubstanz; GMP; made-in-at; high-bioavailability; optimal-form; ultra-pure; lab-verified,vit_b_complex;vit_b12;folate,2026-01-28T22:43:12.21365+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,,,,,,,9.6,,,,blood;brain;energy;metabolism;nerve,iron;magnesium;omega_3;vit_b6;vit_c;zinc,,,,,10.0,"Energie-Komplex für Nerven, Stoffwechsel & Blutbildung",10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.57,,,,,,,,,,,,,,,,,,B0F139ZZVS,https://www.amazon.de/dp/B0F139ZZVS,https://m.media-amazon.com/images/I/71lESzTo1WL._AC_UL320_.jpg,"get your wellbeing by BIOGENA - Vitamin B Complex with All B Vitamins, Folic Acid, Reishi & Shiitake",0.54
5e5cca73-9703-4f23-8440-e97ff4e646ed,Berberin 500mg,,90.0,Stück,90.0,500.0,mg,34.9,0.39,capsule,Ja,Nein,,,Ja,Nein,0.0,reinsubstanz; GMP; made-in-at; ultra-pure; lab-verified; clinical-dose,berberine,2026-01-29T23:39:58.80448+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Berberin,metabolic,500 mg,mg,any,0.0,8.5,50.0,optimizer,strong,general,,,Nein,,,9.0,Unterstützt general,7.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,,,,,,,,,,,,,,,,,,B0C7DCKG8H,https://www.amazon.de/dp/B0C7DCKG8H,https://m.media-amazon.com/images/I/71s6nZQjjCL._AC_UL320_.jpg,BERBERIN HCL 500 mg in Vegetable Capsules with Chrome,0.42
e1389c53-055c-4013-8992-5a18c6da8d4c,Berberin HCL 500mg,,90.0,capsules,90.0,500.0,mg,34.9,0.39,capsule,Nein,Nein,,,Ja,Nein,0.0,blutzucker; ampk; made-in-at,berberine,2026-01-28T22:43:12.571456+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Berberin,metabolic,500 mg,mg,any,0.0,8.5,50.0,optimizer,strong,general,,,Nein,,,9.5,Unterstützt general,9.5,9.2,9.4,10.0,10.0,10.0,8.0,9.45,,,,,,,,,,,,,,,,,,B0C7DCKG8H,https://www.amazon.de/dp/B0C7DCKG8H,https://m.media-amazon.com/images/I/71s6nZQjjCL._AC_UL320_.jpg,BERBERIN HCL 500 mg in Vegetable Capsules with Chrome,0.51
9b916183-c9a8-444a-94c3-cfc682fcba91,Beta-Alanin 200g,,200.0,g,66.0,3.0,g,24.9,0.38,powder,Nein,Nein,,,Ja,Nein,0.0,made-in-at; carnosin,beta_alanine,2026-01-28T23:16:13.902706+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Beta-Alanin,sport,3.2 g,g,any,0.0,8.0,50.0,optimizer,strong,endurance;muscle;performance,citrulline;creatine;taurine,,Nein,,,9.7,Carnosin-Booster für Muskelausdauer,9.7,9.2,9.3,10.0,10.0,10.0,8.5,9.55,,,,,,,,,,,,,,,,,,B017EOZ8OC,https://www.amazon.de/dp/B017EOZ8OC,https://m.media-amazon.com/images/I/81V0n4u50HL._AC_UL320_.jpg,"Beta Alanine Powder, 1er Pack (1 x 1 Kg",0.44
cf96b12b-4327-4daa-ba79-cd8623f2d83c,Bor 3mg Gold,,90.0,capsules,90.0,3.0,mg,14.9,0.17,capsule,Nein,Nein,,,Ja,Nein,0.0,testosteron; knochen; made-in-at,boron,2026-01-28T22:43:12.962031+00:00,Biogena,biogena,EU,biogena.com,luxury,longevity; premium; reinsubstanzen,GMP; ISO22000; HACCP,Bor,Testosteron,10,mg,any,0.0,7.0,75.0,optimizer,stark,general,calcium;magnesium;vit_d3,,Nein,,0.05,9.5,Spurenelement für Knochen & Testosteron,9.5,9.2,8.9,10.0,10.0,10.0,9.0,9.51,,,,,,,,,,,,,,,,,,B018I5MRWC,https://www.amazon.de/dp/B018I5MRWC,https://m.media-amazon.com/images/I/61H+iC74SeL._AC_UL320_.jpg,Warnke Boron 3 mg Tablets Pack of 100,0.37
